StockType,StockName,Date,Close,Holdings,Value
ETF,AACG,2019-03-11,1.0800000429153442,5.904695330908169,6.377071210782855
ETF,AACG,2019-03-12,1.0499999523162842,5.904695330908169,6.1999298158957625
ETF,AACG,2019-03-13,1.0700000524520874,5.904695330908169,6.318024313785336
ETF,AACG,2019-03-14,1.0800000429153442,5.904695330908169,6.377071210782855
ETF,AACG,2019-03-15,1.0399999618530273,5.904695330908169,6.140882918898244
ETF,AACG,2019-03-18,1.0700000524520874,5.904695330908169,6.318024313785336
ETF,AACG,2019-03-19,1.059999942779541,5.904695330908169,6.258976712893282
ETF,AACG,2019-03-20,1.0099999904632568,5.904695330908169,5.963742227905687
ETF,AACG,2019-03-21,1.0299999713897705,5.904695330908169,6.081836021900725
ETF,AACG,2019-03-22,1.0299999713897705,5.904695330908169,6.081836021900725
ETF,AACG,2019-03-25,0.9900000095367432,5.904695330908169,5.84564843391065
ETF,AACG,2019-03-26,1.0,5.904695330908169,5.904695330908169
ETF,AACG,2019-03-27,1.0199999809265137,5.904695330908169,6.022789124903206
ETF,AACG,2019-03-28,1.0,5.904695330908169,5.904695330908169
ETF,AACG,2019-03-29,0.9900000095367432,5.904695330908169,5.84564843391065
ETF,AACG,2019-04-01,1.0,5.904695330908169,5.904695330908169
ETF,AACG,2019-04-02,1.0,5.904695330908169,5.904695330908169
ETF,AACG,2019-04-03,0.9900000095367432,5.904695330908169,5.84564843391065
ETF,AACG,2019-04-04,1.0,5.904695330908169,5.904695330908169
ETF,AACG,2019-04-05,1.0,5.904695330908169,5.904695330908169
ETF,AACG,2019-04-08,1.0199999809265137,5.904695330908169,6.022789124903206
ETF,AACG,2019-04-09,2.119999885559082,5.904695330908169,12.517953425786564
ETF,AACG,2019-04-10,3.8499999046325684,5.904695330908169,22.73307646088082
ETF,AACG,2019-04-11,3.049999952316284,5.904695330908169,18.0093204777121
ETF,AACG,2019-04-12,2.5,5.904695330908169,14.761738327270422
